7.312348715670249355e-01 3.036794739321450054e-01 6.182164838283495945e-01 3.885221691498269569e-01 1.833427240400375968e-02 7.248214534795766051e-01
9.391395446595798280e-01 7.321053458646253898e-01 6.581824238290102658e-01 7.775459379437689167e-01 6.140123673358925949e-01 9.355333704772827996e-01
3.134586210268895945e-01 2.734060242576789035e-01 3.349515454543543491e-01 8.179933364014659869e-01 4.821904206285297922e-01 1.758395468704238018e-01
6.783968324810674133e-02 5.187847072417270944e-01 8.120704851253208734e-01 4.849205756460513994e-01 5.060844919970235445e-01 2.113152047405550960e-01
7.857852518610641823e-01 9.717411446550139331e-01 7.108119163924395689e-01 2.839661395579023973e-01 4.870878874380375478e-01 8.544459140564926170e-01
4.780539090702622396e-01 5.835160569465358549e-01 2.978072442510633078e-01 7.149815744373457793e-01 9.783563973338295083e-01 7.016904785598380156e-01
6.377874273273489436e-01 9.251642702245410632e-01 2.375555595339073900e-01 1.893178261875155810e-01 8.959043338764279829e-01 1.416431874622741116e-01
3.768471126031283092e-01 5.206843635323865627e-02 5.974998818156341818e-01 1.353685559336252897e-01 3.946067899925687072e-01 6.130156372007031784e-01
3.477792327552695628e-01 6.730988909000503728e-01 5.826250206960359446e-02 7.379581251889700821e-01 4.143591392408453311e-01 6.854043674938435915e-01
1.213411584577975821e-01 3.042305763309570699e-01 2.633239685117469975e-01 2.532291125217291938e-01 7.797286827746585658e-02 6.186731549882998893e-01
