title,intro
2.235077947958036271e-01 6.723377059077434437e-01 4.211494518402244536e-01 2.185357201736308763e-01 7.348949409887706175e-02 1.681918560639722449e-01
1.734314737255039374e-01 2.559016151336506173e-01 4.352322301771764934e-01 5.812177820521324811e-02 5.920408384754218822e-01 1.233507883076930822e-01
6.909402167081517554e-01 7.865989081813752337e-01 8.411801213568583790e-01 7.117360579374650831e-01 4.541655284990409047e-01 5.977636438669475805e-02
1.979182243611293801e-01 7.658716381387423722e-01 3.982996017198244809e-01 8.582484069350760914e-01 4.469185852309983664e-01 1.079295751394776515e-01
8.988285536779007101e-01 5.577998064952353063e-01 9.396114621163501601e-01 5.747428902270806939e-01 5.580811028220367120e-02 1.185178529950625670e-01
1.297592550328618977e-02 5.791003873657640799e-01 4.377006006651442682e-01 9.817902905088699006e-01 2.007192706539085991e-01 9.314238612458628497e-01
7.718457045558638763e-01 5.123463457679032773e-01 9.279400539229343270e-01 9.332919945744609924e-01 6.391678530644353540e-01 5.988629150833211234e-01
2.732149902579015244e-01 8.375126653917571717e-01 2.968125939541642611e-01 5.027829759028434875e-01 3.762547606617256957e-01 8.079134022807505922e-01
5.674577091267395401e-01 1.719418449236143065e-02 1.317723000564918756e-01 5.181894358151871716e-01 2.012803020633915363e-01 3.066357488924446040e-01
9.584081951487871676e-01 9.236366115813023914e-01 3.734831577997038687e-01 3.470381469937747765e-01 2.030623099152711886e-01 3.682360519673829602e-01
